Model,ROUGE 1,,,ROUGE 2,,,ROUGE L,,,Sementic similarity
,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,
BioMistral,14.6,13.62,11.82,1.71,1.53,1.34,10.9,10.45,8.85,62.72
BioMedLM,15.71,16.85,13.81,1.82,2.06,1.62,11.39,12.57,10.09,65.18
ChatGPT,27.58,47.1,27.98,11.22,19.69,11.26,21.08,37.31,21.39,82.03
ChatGPT-RAG,45.93,30.25,29.73,20.8,14.39,14.13,38.91,25.28,24.76,78.07
LLaMA2-7B-Chat,16.53,27.86,17.94,4.24,8.8,4.95,11.91,21.68,13.29,71.23
LLaMA2-7B-Chat-RAG,27.31,36.78,26.92,10.61,16.27,10.97,20.57,29.91,20.95,78.9
Vicuna-7B-v1.5,25.26,35.26,25.08,8.21,13.69,8.71,18.78,28.18,19.16,77.21
Vicuna-7B-v1.5-RAG,26.15,34.56,25.51,9.86,14.39,9.92,19.73,27.69,19.7,76.71
ChatGLM3-6B,23.86,35.68,24.42,7.48,13.29,8.12,17.67,28.5,18.62,77.09
ChatGLM3-6B-RAG,33.11,37.12,29.45,14.06,16.77,12.77,26.08,30.38,23.49,79.66
Qwen-7B-Chat,22.74,38.7,24.71,6.7,13.75,7.78,16.22,30.2,18.21,78.43
Qwen-7B-Chat-RAG,29.59,39.97,28.66,11.86,17.27,11.71,22.49,31.99,22.09,80.66
BELLE-7B-2M,30.77,26.43,23.5,10.31,9.48,8.16,25.21,22.15,19.32,73.67
BELLE-7B-2M-RAG,35.18,14.03,16.19,8.97,4.15,4.66,31.21,12.29,14.1,63.42
